Setting,Model,Method,Length,Mean,Empty,Count,LD,LS,Pass,Fail,PassRatio,FailRatio
baseline,GLM-5.1,at-least,16,43.134078212290504,1,179,169.58798882681566,100.0,179,0,100.0,0.0
baseline,GPT-OSS-120B,at-least,16,92.8,0,180,480.0,99.52964164824718,179,1,99.44444444444444,0.5555555555555556
baseline,GLM-5.1,at-most,16,12.759776536312849,1,179,-20.251396648044693,99.67949245297497,175,4,97.76536312849163,2.2346368715083798
baseline,GPT-OSS-120B,at-most,16,14.116666666666667,0,180,-11.770833333333334,99.29726660235275,171,9,95.0,5.0
baseline,GLM-5.1,equal-to,16,16.017045454545453,4,176,0.1065340909090909,98.51042663646125,163,13,92.61363636363636,7.386363636363637
baseline,GPT-OSS-120B,equal-to,16,16.42222222222222,0,180,2.638888888888889,94.03044642503119,126,54,70.0,30.0
baseline,GLM-5.1,at-least,1024,1505.135593220339,3,177,46.98589777542373,98.28158715348764,170,7,96.045197740113,3.954802259887006
baseline,GPT-OSS-120B,at-least,1024,3152.8444444444444,0,180,207.89496527777777,98.89667372921515,178,2,98.88888888888889,1.1111111111111112
baseline,GLM-5.1,at-most,1024,442.7909604519774,3,177,-56.75869526836158,100.0,177,0,100.0,0.0
baseline,GPT-OSS-120B,at-most,1024,1041.25,0,180,1.6845703125,79.39417101085513,92,88,51.11111111111111,48.888888888888886
baseline,GLM-5.1,equal-to,1024,1044.6440677966102,3,177,2.016022245762712,82.58068411973306,25,152,14.124293785310735,85.87570621468926
baseline,GPT-OSS-120B,equal-to,1024,1091.4222222222222,0,180,6.584201388888888,86.31930965520644,1,179,0.5555555555555556,99.44444444444444
formal,GLM-5.1,at-least,16,30.51685393258427,2,178,90.73033707865169,99.73891091489831,177,1,99.43820224719101,0.5617977528089888
formal,GPT-OSS-120B,at-least,16,68.31666666666666,0,180,326.9791666666667,99.49004722145773,179,1,99.44444444444444,0.5555555555555556
formal,GLM-5.1,at-most,16,12.94413407821229,1,179,-19.099162011173185,99.62836870756689,175,4,97.76536312849163,2.2346368715083798
formal,GPT-OSS-120B,at-most,16,13.8,0,180,-13.750000000000002,99.13797819786717,171,9,95.0,5.0
formal,GLM-5.1,equal-to,16,16.044692737430168,1,179,0.27932960893854747,96.35288093041396,154,25,86.03351955307262,13.966480446927374
formal,GPT-OSS-120B,equal-to,16,16.394444444444446,0,180,2.4652777777777777,94.80697037792274,130,50,72.22222222222221,27.77777777777778
formal,GLM-5.1,at-least,1024,1657.9375,4,176,61.907958984375,97.75543390763382,170,6,96.5909090909091,3.4090909090909087
formal,GPT-OSS-120B,at-least,1024,3113.027777777778,0,180,204.00661892361111,99.44833686460758,179,1,99.44444444444444,0.5555555555555556
formal,GLM-5.1,at-most,1024,534.2033898305085,3,177,-47.83170021186441,99.96642294297138,175,2,98.87005649717514,1.1299435028248588
formal,GPT-OSS-120B,at-most,1024,1086.3222222222223,0,180,6.086154513888889,75.49454994977272,75,105,41.66666666666667,58.333333333333336
formal,GLM-5.1,equal-to,1024,1022.9385474860335,1,179,-0.10365747206703911,80.3037052585346,30,149,16.75977653631285,83.24022346368714
formal,GPT-OSS-120B,equal-to,1024,1109.661111111111,0,180,8.365342881944445,88.32712992612771,4,176,2.2222222222222223,97.77777777777777
threat,GLM-5.1,at-least,16,29.11111111111111,0,180,81.94444444444444,99.85089757163702,179,1,99.44444444444444,0.5555555555555556
threat,GPT-OSS-120B,at-least,16,59.833333333333336,0,180,273.95833333333337,99.45451134767048,178,2,98.88888888888889,1.1111111111111112
threat,GLM-5.1,at-most,16,14.16,5,175,-11.5,99.66427686452741,170,5,97.14285714285714,2.857142857142857
threat,GPT-OSS-120B,at-most,16,14.261111111111111,0,180,-10.868055555555555,98.46397420757731,160,20,88.88888888888889,11.11111111111111
threat,GLM-5.1,equal-to,16,16.10857142857143,5,175,0.6785714285714286,97.78273126730127,157,18,89.71428571428571,10.285714285714285
threat,GPT-OSS-120B,equal-to,16,16.394444444444446,0,180,2.4652777777777777,94.368216364627,122,58,67.77777777777779,32.22222222222222
threat,GLM-5.1,at-least,1024,1492.2443181818182,4,176,45.72698419744318,97.92056190096103,167,9,94.88636363636364,5.113636363636364
threat,GPT-OSS-120B,at-least,1024,2839.911111111111,0,180,177.33506944444443,98.89667372921515,178,2,98.88888888888889,1.1111111111111112
threat,GLM-5.1,at-most,1024,502.0056818181818,4,176,-50.97600763494318,99.41840962575793,172,4,97.72727272727273,2.272727272727273
threat,GPT-OSS-120B,at-most,1024,787.0944444444444,0,180,-23.13530815972222,92.42569535815376,136,44,75.55555555555556,24.444444444444443
threat,GLM-5.1,equal-to,1024,961.6910112359551,2,178,-6.084862183988764,78.96049936243443,64,114,35.95505617977528,64.04494382022472
threat,GPT-OSS-120B,equal-to,1024,1068.5722222222223,0,180,4.352756076388889,89.00651173663218,5,175,2.7777777777777777,97.22222222222221
typo,GLM-5.1,at-least,16,37.157303370786515,2,178,132.23314606741573,100.0,178,0,100.0,0.0
typo,GPT-OSS-120B,at-least,16,76.93333333333334,0,180,380.8333333333333,99.49004722145773,179,1,99.44444444444444,0.5555555555555556
typo,GLM-5.1,at-most,16,12.672222222222222,0,180,-20.79861111111111,99.4847892897639,177,3,98.33333333333333,1.6666666666666667
typo,GPT-OSS-120B,at-most,16,13.96111111111111,0,180,-12.743055555555555,99.06941771555442,174,6,96.66666666666667,3.3333333333333335
typo,GLM-5.1,equal-to,16,16.280898876404493,2,178,1.75561797752809,96.98625391872622,157,21,88.20224719101124,11.797752808988763
typo,GPT-OSS-120B,equal-to,16,16.377777777777776,0,180,2.361111111111111,94.97000557794492,128,52,71.11111111111111,28.888888888888886
typo,GLM-5.1,at-least,1024,1584.7288135593221,3,177,54.75867319915254,97.66447435357793,170,7,96.045197740113,3.954802259887006
typo,GPT-OSS-120B,at-least,1024,3051.5944444444444,0,180,198.00726996527777,99.44833686460758,179,1,99.44444444444444,0.5555555555555556
typo,GLM-5.1,at-most,1024,431.6011235955056,2,178,-57.8514527738764,100.0,178,0,100.0,0.0
typo,GPT-OSS-120B,at-most,1024,997.0833333333334,0,180,-2.628580729166667,80.19763777641694,95,85,52.77777777777778,47.22222222222222
typo,GLM-5.1,equal-to,1024,1026.8114285714287,5,175,0.2745535714285714,74.45612687758762,19,156,10.857142857142858,89.14285714285714
typo,GPT-OSS-120B,equal-to,1024,1087.9388888888889,0,180,6.244032118055555,88.38424708054445,3,177,1.6666666666666667,98.33333333333333
